,word1,word2,label
0,нафталин,обезлюдить,0
1,целый,цельный,1
2,вешала,фактор,0
3,атавистичный,приобретательный,0
4,сыскать,снискать,1
5,начертать,начертить,1
6,истерический,добровольческий,0
7,личностный,личный,1
8,чеканный,чеканочный,1
9,непроглядный,трагический,0
10,хлеборобный,хлеборобский,1
11,почтительный,великаний,0
12,доверчивый,тактичный,0
13,тюлений,командированный,0
14,игристый,игривый,1
15,мелкотравчатый,стрелец,0
16,светить,светлить,1
17,автоматичный,автоматический,1
18,цикличный,циклический,1
19,накрапывать,накрапливать,1
20,цветной,ригористичный,0
21,надувательский,надувательный,1
22,земляной,земной,1
23,токсичный,поступок,0
24,ниточный,беглец,0
25,блестеть,восход,0
26,волнующий,вожделенный,0
27,двойственный,двоякий,1
28,диалектизм,керосинный,0
29,тема,выборочный,0
30,возраст,рост,1
31,гидрант,заботный,0
32,гордыня,шляпный,0
33,глубинный,глубокий,1
34,неврастенический,неврастеничный,1
35,могущественный,могучий,1
36,трубчатый,трубочный,1
37,земной,дифференциальный,0
38,швейцар,швейцарец,1
39,героический,геройский,1
40,монистичный,монистический,1
41,животный,восполнить,0
42,деспотичный,полированный,0
43,слоновый,заживлять,0
44,гадальный,гадательный,1
45,нитчатый,ниточный,1
46,опасно,представительский,0
47,придворный,дворовый,1
48,педагогичный,педагогический,1
49,энциклопедический,энциклопедичный,1
50,подголовник,изношенность,0
51,простудливый,обеднеть,0
52,отклоняться,одинокий,0
53,огородить,оградить,1
54,виноватый,виновный,1
55,газовик,газовщик,1
56,усатый,легитимный,0
57,мелодраматический,мелодраматичный,1
58,гагаровый,гагарий,1
59,естество,представление,0
60,методистский,методический,1
61,обездушеть,обездушить,1
62,ответственный,ответный,1
63,обезглаветь,болезный,0
64,гневливый,трагичный,0
65,романтичный,романтический,1
66,малопонятливый,малопонятный,1
67,поручительный,поручительский,1
68,примотать,приметать,1
69,ниточный,нитчатый,1
70,хвостистый,хвостистский,1
71,реалистичный,реалистический,1
72,клеточный,клетчатый,1
73,уклоняться,отклоняться,1
74,разодеть,раздеть,1
75,рыболовецкий,озолотеть,0
76,бабский,завидливый,0
77,лиричный,лирический,1
78,обездушить,обездушеть,1
79,фланелевый,фланельный,1
80,тактичный,варкий,0
81,представить,предоставить,1
82,соседский,соседний,1
83,живучий,живительный,1
84,обезводеть,обезводить,1
85,комитет,диалект,0
86,головешки,головашки,1
87,полированный,полировочный,1
88,фабрикант,фабрикат,1
89,тень,темь,1
90,болотистый,одышка,0
91,преставиться,венец,0
92,астронавт,заходить,0
93,пионерский,догматический,0
94,преставиться,защитный,0
95,осиротеть,осиротить,1
96,экономичный,экономический,1
97,мучительный,мучительский,1
98,ломить,ломать,1
99,удачно,полемичный,0
100,доходчивый,доходный,1
101,гарант,гарантия,1
102,академический,академичный,1
103,телевизионник,телевизионщик,1
104,экологический,экологичный,1
105,соседский,единовременный,0
106,лирик,штатский,0
107,дарственная,дар,1
108,цепенеть,цепенить,1
109,домовой,домовый,1
110,слоновий,слоновый,1
111,мучительский,рисковой,0
112,летательный,летальный,1
113,гидрат,гидрант,1
114,вафельница,восполнить,0
115,седельчатый,седельный,1
116,мелодичный,мелодический,1
117,дар,пластичный,0
118,наедине,в одиночестве,1
119,концепт,прожигательский,0
120,рисковой,рисковый,1
121,обсудить,непроницаемый,0
122,оградить,огородить,1
123,дивизия,затруднённый,0
124,гордость,гордыня,1
125,холодить,испытательный,0
126,духовный,духовой,1
127,овчарня,овчарка,1
128,крашеный,придворный,0
129,весёлый,увеселительный,1
130,малоудачливый,малоудачный,1
131,новация,инновация,1
132,покупательный,покупательский,1
133,беззаконие,беззаконность,1
134,взаимопонимание,понимание,1
135,палатный,палаточный,1
136,пометка,овчарка,0
137,лирник,затруднительный,0
138,цинический,деспотичный,0
139,стеклить,изучить,0
140,шутливый,двигатель,0
141,различать,оплатить,0
142,удалой,произношение,0
143,стать,депрессия,0
144,обязать,обвязать,1
145,болотный,болотистый,1
146,дипломатика,ответный,0
147,типический,академичный,0
148,подрядческий,достигать,0
149,системный,малахитовый,0
150,авантюрист,авантюрин,1
151,заразный,заразительный,1
152,чубатый,практичный,0
153,этический,этичный,1
154,бородастый,бородатый,1
155,ординарный,гордость,0
156,заходить,переродниться,0
157,воинствующий,воинственный,1
158,заживать,заживлять,1
159,бедственный,бедный,1
160,оппортунистический,оппортунистичный,1
161,автономия,рабочий,0
162,сломленный,демократия,0
163,неизмеримый,обезрыбеть,0
164,днище,дно,1
165,вклад,отборный,0
166,чувствительный,эскалатор,0
167,простудливый,простудный,1
168,понятливый,цветы,0
169,мифический,элитарный,0
170,пуганый,пугливый,1
171,породить,породнить,1
172,иждивенчество,аристократичный,0
173,разборчивый,молодить,0
174,кокетка,кокотка,1
175,группа,группировка,1
176,жестокий,жёсткий,1
177,угодно,бережность,0
178,ветровой,ветряной,1
179,яблочный,яблоневый,1
180,дарёный,единообразие,0
181,диктат,диктант,1
182,воинский,ребячливый,0
183,плавки,зернистый,0
184,переливочный,переливчатый,1
185,докучливый,флегматический,0
186,истеричный,истерический,1
187,бродячий,бродяжий,1
188,системный,систематический,1
189,мифический,добычный,0
190,кардинальский,кардинальный,1
191,кардинальный,кардинальский,1
192,фазаний,опасливо,0
193,фланелевый,приметный,0
194,эстетический,эстетичный,1
195,ломать,ломить,1
196,травматический,инженерский,0
197,внеклассовый,желательный,0
198,ненавистнический,человеческий,0
199,демократия,приобретательный,0
200,кардинальский,высотный,0
201,тягостный,тяжкий,1
202,разместить,поместить,1
203,экономный,толстить,0
204,черстветь,поместиться,0
205,грамматичный,грамматический,1
206,последовать,глупить,0
207,шелковый,отклонение,0
208,видение,видение,1
209,Финско-,яблоневый,0
210,костный,дипломатичный,0
211,антипедагогичный,антипедагогический,1
212,собственнический,собственный,1
213,наблюдательский,наличность,0
214,ординарный,ординарческий,1
215,взвалить,годовой,0
216,скобчатый,скобочный,1
217,душевность,возмутительный,0
218,поворотный,увёртываться,0
219,добровольный,добровольческий,1
220,запасливый,глупить,0
221,ванная,отдельский,0
222,разборочный,невежа,0
223,синеть,штатный,0
224,отпечатать,обзолотить,0
225,осветлитель,осветитель,1
226,вдовый,вдовий,1
227,реалистический,реалистичный,1
228,великий,вафельница,0
229,обвинительный,грецкий,0
230,старинный,старый,1
231,цветовой,советчик,0
232,проглотить,затруднённый,0
233,ветряной,иголочный,0
234,возбуждать,скрытый,0
235,праздничный,праздный,1
236,адресат,оглупеть,0
237,прибавить,добавить,1
238,доходить,заходить,1
239,темь,тень,1
240,гнездовье,гнездо,1
241,обезземелить,охватить,0
242,малахитовый,малахитный,1
243,наследие,разодеть,0
244,неограниченный,безграничный,1
245,заблуждаться,вафельница,0
246,дидактичный,эстетический,0
247,чувственный,чувствительный,1
248,остервенеть,неизмеримый,0
249,исполнительский,огородить,0
250,преемник,гагаровый,0
251,веселеть,веселить,1
252,сапожный,сапожничий,1
253,Финско-,земной,0
254,садовнический,садовничий,1
255,фантастичный,фантастический,1
256,ритмический,ритмичный,1
257,спасательный,рыболов,0
258,вывёртываться,увёртываться,1
259,лирический,дружеский,0
260,чубатый,цепенить,0
261,благоустроенность,просветительный,0
262,демократический,демократичный,1
263,добавка,надбавка,1
264,производственный,производный,1
265,обеднить,неоглядный,0
266,цвета,цветы,1
267,ограниченность,малоудачливый,0
268,досадливый,парламентский,0
269,остатки,прозаичный,0
270,сапожничий,оглупеть,0
271,аллегро,церковничий,0
272,дождевой,молодеть,0
273,гордыня,гордость,1
274,животный,живой,1
275,ошейник,желательный,0
276,отдышка,жалостный,0
277,обвинительский,обвинительный,1
278,педагогический,педагогичный,1
279,чернеть,вакхальный,0
280,антипатический,выдача,0
281,обжорливый,конфузливо,0
282,зеленить,зеленеть,1
283,изыскательский,изыскательный,1
284,строительный,строительский,1
285,осудить,обсудить,1
286,выбор,движитель,0
287,каменистый,каменный,1
288,солитер,высший,0
289,вера,доверие,1
290,гармония,дисгармония,1
291,эффектность,наблюдательский,0
292,действо,действие,1
293,безделица,бездельница,1
294,врыть,ригористичный,0
295,парламентский,вакханальный,0
296,старательный,правительский,0
297,бывший,бывалый,1
298,докучливый,докучный,1
299,ироничный,иронический,1
300,мистический,мистичный,1
301,обвинительный,обвинительский,1
302,продуктовый,аккордовый,0
303,языковой,языковый,1
304,рогатый,рогастый,1
305,клеёночный,клеёнчатый,1
306,белеть,тяжко,0
307,земной,популярный,0
308,астматический,удалой,0
309,избирательный,единовременный,0
310,однорукий,годовалый,0
311,столярный,одновременный,0
312,чеканочный,чеканный,1
313,личный,личностный,1
314,стяжательный,стяжательский,1
315,вариант,инвариант,1
316,доминантный,доминантовый,1
317,изобретательный,грамматический,0
318,сопротивляемость,сопротивление,1
319,исходный,исток,0
320,учредительный,притязательный,0
321,дурить,бобёр,0
322,рыболовецкий,рыболовный,1
323,узорчатый,узорный,1
324,иждивенчество,иждивенство,1
325,безумие,безумство,1
326,стеклянный,стекольный,1
327,нитчатый,холопский,0
328,формант,формат,1
329,единообразие,вороновый,0
330,светлить,остепенить,0
331,старинный,гармонический,0
332,глинистый,благоустроенность,0
333,травматический,дельный,0
334,зрительский,греческий,0
335,непонятливый,коптить,0
336,озлить,братний,0
337,крючкотворный,крючкотворский,1
338,приветный,сыскать,0
339,деспотизм,тряхнуть,0
340,эскалатор,экскаватор,1
341,обезденежеть,разночинский,0
342,доверие,доверительность,1
343,подписать,выписать,1
344,жилищный,осветлитель,0
345,добычливый,добычный,1
346,отписка,описка,1
347,дудчатый,дудочный,1
348,мифический,варочный,0
349,демобилизировать,мобилизировать,1
350,шелковый,инновация,0
351,экскаватор,эскалатор,1
352,продуктивный,продуктовый,1
353,Ганнибал,каннибал,1
354,вафельница,вафельщица,1
355,шумный,шумовой,1
356,ванная,вздрогнуть,0
357,обезлюдить,обезлюдеть,1
358,экономичный,мороженый,0
359,сломленный,сломанный,1
360,наёмный,элегический,0
361,жабный,юмористичный,0
362,дедушкин,сочинительный,0
363,распутница,распутица,1
364,сатиричный,диктант,0
365,кормильщица,кормилица,1
366,жизненный,житейский,1
367,бунтарь,владеть,0
368,атавистический,атавистичный,1
369,приветный,приветственный,1
370,цепенить,цепенеть,1
371,тяготить,тяготеть,1
372,законодательный,вдох,0
373,старый,советник,0
374,воскресение,стеклянный,0
375,просёлок,посёлок,1
376,чудной,чудный,1
377,вакхальный,вакханальный,1
378,цикличный,практический,0
379,изначально,опасливо,0
380,масленый,источник,0
381,пергаментный,командировочный,0
382,кожный,кожаный,1
383,конфузливо,наличность,0
384,регенерация,дегенерация,1
385,гнилостный,головешки,0
386,узорный,собирательный,0
387,фён,антагонистичный,0
388,ковочный,непроницательный,0
389,холопский,солитер,0
390,дружественный,дружеский,1
391,юмористка,юмореска,1
392,избирательный,старый,0
393,двойной,исходящий,0
394,маслянистый,масляный,1
395,шлифовальник,неприметный,0
396,типичный,типический,1
397,приютный,приютский,1
398,угодный,игральный,0
399,достойно,пропавший,0
400,изношенность,сыскать,0
401,гнездовье,полировочный,0
402,классный,классовый,1
403,безличный,гармония,0
404,отрывок,яловый,0
405,угодливый,угодный,1
406,хищный,хищнический,1
407,распутица,распутница,1
408,ритмичный,артистический,0
409,предоставить,грубить,0
410,лакированный,флегматический,0
411,фанатичный,глиняный,0
412,истеричный,школьный,0
413,динамизм,маститый,0
414,прозаический,прозаичный,1
415,дармоедный,дармоедский,1
416,стекольный,мечтательный,0
417,рисковый,вечерня,0
418,полнеть,полнить,1
419,варочный,варкий,1
420,фактичный,фактический,1
421,оградить,наблюдательный,0
422,церковничий,церковнический,1
423,вожделеющий,стряхнуть,0
424,оживлять,зубатый,0
425,дымный,дымовой,1
426,оцепенеть,оцепенить,1
427,внеклассный,внеклассовый,1
428,пергаментный,обезлюдеть,0
429,рождать,рожать,1
430,искусственно,фён,0
431,факт,информация,0
432,возмутительный,возмущённый,1
433,вечный,избирательский,0
434,изношенность,стихотворческий,0
435,стихотворный,стихотворческий,1
436,монистический,мороженый,0
437,коллекторный,коллекторский,1
438,обезножить,индейский,0
439,мелодика,мелодия,1
440,экологический,негласный,0
441,грозный,овчарка,0
442,высший,вышний,1
443,грецкий,греческий,1
444,измышление,просёлок,0
445,обсудить,осудить,1
446,подача,выдача,1
447,вообще,в общем,1
448,ремесленный,романтичный,0
449,гарант,масленый,0
450,рост,мучительный,0
451,неоглядный,переливчатый,0
452,ябедливый,лобный,0
453,демократия,демократичность,1
454,абстрактность,безличный,0
455,сметливый,обезножеть,0
456,совестливо,взбить,0
457,артистический,полировочный,0
458,советник,анархичный,0
459,цветастый,цветистый,1
460,графический,шелковый,0
461,обсудить,неорганичный,0
462,телевизионщик,тактический,0
463,малоудачливый,сатиричный,0
464,мифический,мифичный,1
465,помета,пометка,1
466,ребристый,ребрастый,1
467,на дыбы,дыбом,1
468,чудный,чудной,1
469,заводной,заводской,1
470,вакансия,остеклить,0
471,старательный,старательский,1
472,лавочнический,лавочный,1
473,великанский,великаний,1
474,впрыгнуть,беззаконность,0
475,дыбом,на дыбы,1
476,владеть,обладать,1
477,газовщик,наполнить,0
478,реабилитационный,проповеднический,0
479,подстричь,выплатить,0
480,героический,экранизировать,0
481,вырастить,грибное,0
482,тяжко,прожигательный,0
483,гарантированный,животный,0
484,законодательный,законодательский,1
485,остатки,истеричный,0
486,заодно,ребрастый,0
487,исходный,исходящий,1
488,сочинительский,сочинительный,1
489,холопский,взыскательный,0
490,благодарственный,типический,0
491,скрытый,декоративный,0
492,золотить,женственный,0
493,хозяйственный,стрелочный,0
494,однокорневой,оппортунистичный,0
495,дедовский,столярный,0
496,апокрифический,апокрифичный,1
497,заблудиться,заблуждаться,1
498,интранет,интернет,1
499,достойно,осуждение,0
500,аллегро,безграмотный,0
501,увёртываться,технологичный,0
502,длинный,длительный,1
503,мелкотравный,мелкотравчатый,1
504,непроницательный,представить,0
505,гончарный,гончарский,1
506,шляпный,братний,0
507,довольствие,довольство,1
508,подрядный,обоснование,0
509,густить,одиночный,0
510,спасательный,спасительный,1
511,рыбий,остеклеть,0
512,почтенный,почтительный,1
513,докучно,инородный,0
514,лирик,преобразовательный,0
515,понятный,понятливый,1
516,пергаментный,обезводеть,0
517,черкеска,однокоренной,0
518,отборный,отборочный,1
519,антрацитный,вешала,0
520,обстоятельный,обстоятельственный,1
521,дождевой,дождливый,1
522,командированный,командировочный,1
523,гармонический,гармоничный,1
524,крестный,крёстный,1
525,лирический,склочный,0
526,взбитый,сбитый,1
527,уклонение,отклонение,1
528,словарный,вороновый,0
529,оглупить,оглупеть,1
530,подбор,фееричный,0
531,дипломатика,орлиный,0
532,идеалистичный,идеалистистический,1
533,холодить,холодеть,1
534,отрывок,непонятно,0
535,экзерциции,экзерсисы,1
536,проверка,информация,0
537,обеднеть,доходить,0
538,рыбный,рыбий,1
539,веселеть,русский,0
540,восполнить,порумянить,0
541,шершавить,полнеть,0
542,приглядливый,обеднить,0
543,добротный,добрый,1
544,разливочный,волнующий,0
545,иронический,абонемент,0
546,переродиться,переродниться,1
547,ближний,близкий,1
548,венерический,венерологический,1
549,обессилеть,оглупеть,0
550,автобиографический,зубовой,0
551,клёв,аллегорический,0
552,гидрант,гидрат,1
553,гордыня,черви,0
554,обрывочный,обрывчатый,1
555,скрытый,скрытный,1
556,леденеть,леденить,1
557,метафизический,обвязать,0
558,психологический,благоустроенность,0
559,дерзать,бедняк,0
560,эффектный,эффективный,1
561,травматический,войти,0
562,патриотичный,коричневый,0
563,явно,горделивый,0
564,отплатить,оплатить,1
565,представительский,представительный,1
566,трубчатый,спасательный,0
567,порумянить,звуковой,0
568,пастушонок,пастушок,1
569,пионерский,ювелирский,0
570,рачий,игристый,0
571,просительный,методика,0
572,существо,сущность,1
573,автобиографический,автобиографичный,1
574,советчик,советник,1
575,идиотичный,идиотический,1
576,элитарный,элитный,1
577,штатный,отдельный,0
578,фанатичный,фанатический,1
579,безответный,безответственный,1
580,контратака,выгода,0
581,антагонистичный,антагонистический,1
582,человечный,человеческий,1
583,дедушкин,дедовский,1
584,вассальный,вассальский,1
585,непроницаемый,сценичный,0
586,отречение,отрешение,1
587,мелодраматичный,шнурок,0
588,спусковой,спускной,1
589,дурить,сочинительский,0
590,симпатичный,беззаконие,0
591,пастушонок,свесить,0
592,командировочный,командированный,1
593,непроглядный,оппортунистический,0
594,пророческий,пророчественный,1
595,почтительный,наследный,0
596,чубастый,чубатый,1
597,изучить,выучить,1
598,будний,будничный,1
599,потребительский,потребительный,1
600,редить,апокрифичный,0
601,лакированный,вбежать,0
602,тактичный,тактический,1
603,сломанный,гармоничный,0
604,формат,формант,1
605,однорукий,подголовок,0
606,начертить,начертать,1
607,широтный,широкий,1
608,изысканный,взыскательный,1
609,настоятельный,настоятельский,1
610,благотворительный,благотворный,1
611,возмущённый,умный,0
612,архаичный,архаический,1
613,техничный,технический,1
614,фееричный,различный,0
615,каменный,понедельничный,0
616,масличный,масленый,1
617,вымысел,измышление,1
618,уклонение,дрогнуть,0
619,опасливо,стряхнуть,0
620,оболванеть,оболванить,1
621,протрезветь,озлить,0
622,светлить,спускной,0
623,сводчатый,сводный,1
624,экзерциции,наличие,0
625,испытательный,испытательский,1
626,статический,жабный,0
627,бунтарь,бунтовщик,1
628,земной,земляной,1
629,антагонистический,отписка,0
630,индейский,пионерский,0
631,жалостный,гармоничный,0
632,выбор,гнездо,0
633,настигать,достигать,1
634,английский,ремесленнический,0
635,хозяйственный,хозяйский,1
636,эффектный,сталагмит,0
637,близкий,ближний,1
638,сущность,существо,1
639,черстветь,опасливо,0
640,фабрикат,фабрикант,1
641,аритмичный,аритмический,1
642,гашёный,гашенный,1
643,яловый,яловочный,1
644,типический,блуждать,0
645,деловитый,деловой,1
646,шляпочный,дифференциальный,0
647,английский,живительный,0
648,отклонение,уклонение,1
649,пьянить,выжидательный,0
650,просветительский,просветительный,1
651,гостиничный,гостинный,1
652,мельничий,опечатать,0
653,домоуправление,сапожный,0
654,житейский,жизненный,1
655,невиновный,мучительный,0
656,воинский,анекдотичный,0
657,пометка,помета,1
658,отдышка,рачий,0
659,величие,величина,1
660,дедовский,дедушкин,1
661,огреть,обогреть,1
662,пополнить,наполнить,1
663,динамический,динамичный,1
664,именитый,именной,1
665,оборотный,оборотливый,1
666,белить,белеть,1
667,ломать,подделка,0
668,уклоняться,ненавистнический,0
669,рисуночный,звериный,0
670,меланхолический,меланхоличный,1
671,антагонистический,антагонистичный,1
672,душевность,духовность,1
673,жестокий,антагонистический,0
674,ветряной,ветровой,1
675,незаметный,червы,0
676,мучительный,напоминание,0
677,демократичность,демократия,1
678,бедный,бедственный,1
679,методика,оградить,0
680,лавочнический,оформительский,0
681,технологичный,солитёр,0
682,безграмотный,неграмотный,1
683,остепенеть,простецкий,0
684,упадочный,фактор,0
685,аритмический,аритмичный,1
686,мелкотравный,практичный,0
687,обидный,отборщик,0
688,гарантированный,гарантийный,1
689,глупить,глупеть,1
690,жавороночий,ординарный,0
691,порумянить,порумянеть,1
692,зубатый,гарантийный,0
693,озлеть,озлить,1
694,обездушеть,невинный,0
695,информативный,информационный,1
696,великаний,натуралистический,0
697,отдельный,всякий,0
698,отклоняться,дипломатия,0
699,прожигательский,прожигательный,1
700,дегенерация,регенерация,1
701,диалектизм,диалект,1
702,дипломатика,дипломатия,1
703,юродивый,юродливый,1
704,дар,генеральский,0
705,сравнительный,пастушок,0
706,вскрытие,летальный,0
707,законодательский,грецкий,0
708,волнующий,мистический,0
709,восполнить,заполнить,1
710,дымный,надбавка,0
711,настигать,этичный,0
712,могучий,переливочный,0
713,пластинчатый,нынче,0
714,знамение,знамя,1
715,пионерный,крючкотворный,0
716,в одиночестве,наедине,1
717,длительный,длинный,1
718,бесчувственность,блистать,0
719,крокодиловый,крокодилий,1
720,войти,взойти,1
721,абонемент,прозаичный,0
722,искусный,художнический,0
723,завоевательский,политический,0
724,анархичный,анархический,1
725,веселить,мельничный,0
726,самодурский,самодурный,1
727,Камчатский,поручительный,0
728,осуждение,обсуждение,1
729,тяготеть,внеклассный,0
730,затруднённый,затруднительный,1
731,сетчатый,сеточный,1
732,сатиричный,дельфиновый,0
733,действие,одинокий,0
734,скотный,дефективный,0
735,отклоняться,уклоняться,1
736,мистичный,удальской,0
737,вакансия,рисуночный,0
738,керосиновый,керосинный,1
739,лакированный,понимание,0
740,обрывчатый,обрывочный,1
741,увеселительный,весёлый,1
742,фантазёрство,фантазирование,1
743,атавистичный,атавистический,1
744,действительный,действенный,1
745,приобретательный,симпатический,0
746,фазановый,волнительный,0
747,вороний,вороновый,1
748,сломленный,дымовой,0
749,унизительный,униженный,1
750,раковый,рачий,1
751,рисуночный,рисунчатый,1
752,производительность,производство,1
753,псарный,псарский,1
754,даровой,гнутый,0
755,черкеска,графический,0
756,крестный,элегичный,0
757,связываться,вязаться,1
758,вакансия,единоверный,0
759,иронический,ироничный,1
760,двойной,двоичный,1
761,статичный,инновация,0
762,обезножить,обезножеть,1
763,знамя,знамение,1
764,тень,тюлений,0
765,идеалистичный,практический,0
766,вложение,неудачливый,0
767,обезденежить,обезденежеть,1
768,талант,автобиографичный,0
769,зачинатель,газовик,0
770,популистский,лобный,0
771,бесчувствие,бесчувственность,1
772,прожигательный,прожигательский,1
773,подбор,симпатичный,0
774,беззаконие,чубатый,0
775,барственный,игральный,0
776,чубатый,чубастый,1
777,гусячий,насильно,0
778,заполнить,великанский,0
779,безгласный,негласный,1
780,блистать,блестеть,1
781,мучительский,поэтический,0
782,блудить,блуждать,1
783,злобный,оформительский,0
784,царственный,двояшки,0
785,проследовать,последовать,1
786,экранировать,болезный,0
787,безыскусный,удачно,0
788,ароматический,ароматичный,1
789,представиться,преставиться,1
790,производство,седельный,0
791,приглядный,поэтический,0
792,акуловый,историчный,0
793,венерологический,венерический,1
794,отборочный,вдовий,0
795,дружественный,понимание,0
796,кондукторский,благотворный,0
797,хлебопашенный,гарантия,0
798,невежда,оболванить,0
799,декларативный,декларационный,1
800,интеллигентский,интеллигентный,1
801,безыскусный,безыскусственный,1
802,астронавт,будний,0
803,снискать,сыскать,1
804,протрезвить,протрезветь,1
805,собственный,собственнический,1
806,заразный,достояние,0
807,перетерпеть,претерпеть,1
808,комфортный,желанный,0
809,автономия,автономность,1
810,бабий,обрывочный,0
811,вырастить,нарастить,1
812,трубочный,трубчатый,1
813,информация,информированность,1
814,популистский,популярный,1
815,цинический,бабий,0
816,кокотка,сопротивление,0
817,пакостный,пакостливый,1
818,гончарный,породить,0
819,сметный,депрессия,0
820,удачливый,черстветь,0
821,покупательский,борзый,0
822,побуждать,возбуждать,1
823,циничный,цинический,1
824,индийский,индейский,1
825,держать,гончарский,0
826,червиветь,червить,1
827,гостинный,малопонятливый,0
828,обезлошадеть,авторитетный,0
829,охладить,охладеть,1
830,гармонический,воскресение,0
831,поверка,экономический,0
832,лирник,лирик,1
833,действо,венерический,0
834,осветлить,монтаж,0
835,здравница,симптоматичный,0
836,булавочный,упадочнический,0
837,простацкий,одинокий,0
838,запасный,запасливый,1
839,знамение,авантюрист,0
840,английский,зубастый,0
841,мужицкий,мужичий,1
842,досадливо,досадно,1
843,беззаконность,беззаконие,1
844,Антарктика,Арктика,1
845,метафизичный,метафизический,1
846,простак,годовой,0
847,антипатичный,эстетский,0
848,психологический,психологичный,1
849,хваткий,кормилица,0
850,декорационный,декоративный,1
851,дарёный,непонятно,0
852,гончарский,пророчественный,0
853,вырастить,метод,0
854,гармоничный,юродивый,0
855,болотный,зеленить,0
856,усвоить,освоить,1
857,эффективность,выплатить,0
858,деспотичный,деспотический,1
859,сопротивляемость,вожделеющий,0
860,исток,источник,1
861,четырёхрукий,луковый,0
862,учредительный,учредительский,1
863,поедем,отборщик,0
864,кабинетский,реабилитированный,0
865,отпечатки,опечатки,1
866,демонстративный,драматичный,0
867,озолотеть,озолотить,1
868,покорный,жавороночный,0
869,корневой,отклоняться,0
870,телевизионник,мелодраматичный,0
871,червить,червиветь,1
872,мудрить,мудреть,1
873,черви,червы,1
874,благоустроенность,благоустройство,1
875,мельничий,скарпель,0
876,конский,конный,1
877,памятливый,склочнический,0
878,предоставить,малахитный,0
879,аристократичный,аристократический,1
880,геройский,героический,1
881,надувательный,гуманность,0
882,вакация,просёлок,0
883,отходный,бродячий,0
884,сбитый,взбитый,1
885,игральный,двойственный,0
886,посёлок,просёлок,1
887,комфортный,обездушеть,0
888,действенный,действительный,1
889,подвижнический,подвижный,1
890,воинский,военный,1
891,городничий,городовой,1
892,подживать,индейский,0
893,анекдотический,конъектура,0
894,эффектный,злостно,0
